transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,total_price,cost_price,profit
92,2023-01-01,10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2.4499999999999997,1.0500000000000003
93,2023-01-01,10:27:48,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,2.0999999999999996,1.8000000000000007
94,2023-01-01,10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2.17,0.9300000000000002
95,2023-01-01,10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2.275,0.9750000000000001
96,2023-01-01,10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2.625,1.125
97,2023-01-01,10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,3.15,1.35
98,2023-01-01,10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2.625,2.25
99,2023-01-01,10:49:13,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,2.0999999999999996,1.8000000000000007
100,2023-01-01,10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,3.3249999999999997,2.8500000000000005
101,2023-01-01,10:51:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,2.0999999999999996,0.9000000000000004
102,2023-01-01,10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,1.75,1.5
103,2023-01-01,10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,2.625,1.125
104,2023-01-01,10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2.625,1.125
105,2023-01-01,10:56:14,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2.4499999999999997,1.0500000000000003
106,2023-01-01,11:01:48,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,1.4,0.6000000000000001
107,2023-01-01,11:01:58,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,2.625,1.125
108,2023-01-01,11:01:58,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,2.4499999999999997,1.0500000000000003
109,2023-01-01,11:03:25,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,2.0999999999999996,1.8000000000000007
110,2023-01-01,11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,2.4499999999999997,1.0500000000000003
111,2023-01-01,11:04:32,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,2.9749999999999996,2.5500000000000007
112,2023-01-01,11:08:11,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,3.15,1.35
113,2023-01-01,11:08:59,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,2.0999999999999996,1.8000000000000007
114,2023-01-01,11:09:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,3.15,1.35
115,2023-01-01,11:10:21,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,2.0999999999999996,0.9000000000000004
116,2023-01-01,11:10:21,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2.625,1.125
117,2023-01-01,11:10:58,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,1.75,0.75
118,2023-01-01,11:12:29,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,2.0999999999999996,0.9000000000000004
119,2023-01-01,11:16:02,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,2.0999999999999996,1.8000000000000007
120,2023-01-01,11:21:00,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,1.75,1.5
121,2023-01-01,11:21:04,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,2.0999999999999996,1.8000000000000007
122,2023-01-01,11:21:14,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2.625,1.125
123,2023-01-01,11:23:01,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,1.54,0.6600000000000001
124,2023-01-01,11:23:43,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2.625,2.25
125,2023-01-01,11:23:43,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2.0999999999999996,0.9000000000000004
126,2023-01-01,11:25:35,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,2.0999999999999996,1.8000000000000007
127,2023-01-01,11:25:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2.625,2.25
128,2023-01-01,11:28:15,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,1.75,1.5
129,2023-01-01,11:28:29,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,2.4499999999999997,2.1000000000000005
130,2023-01-01,11:29:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,1.7849999999999997,1.5300000000000002
131,2023-01-01,11:29:57,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,2.17,1.8600000000000003
132,2023-01-01,11:29:57,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,3.15,1.35
133,2023-01-01,11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,1.75,0.75
134,2023-01-01,11:31:35,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,2.0999999999999996,0.9000000000000004
135,2023-01-01,11:31:43,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,2.0999999999999996,1.8000000000000007
136,2023-01-01,11:31:43,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,2.275,0.9750000000000001
137,2023-01-01,11:31:53,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,1.75,1.5
138,2023-01-01,11:31:53,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,2.4499999999999997,1.0500000000000003
139,2023-01-01,11:39:14,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2.625,1.125
140,2023-01-01,11:39:14,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2.625,1.125
141,2023-01-01,11:40:26,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,1.75,1.5
142,2023-01-01,11:43:57,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,1.54,1.3200000000000003
143,2023-01-01,11:44:09,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2.625,1.125
144,2023-01-01,11:47:13,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0,2.0999999999999996,0.9000000000000004
145,2023-01-01,11:48:56,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,1.75,1.5
146,2023-01-01,11:49:42,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,1.75,0.75
147,2023-01-01,11:49:42,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,2.275,0.9750000000000001
148,2023-01-01,11:50:16,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0,2.0999999999999996,1.8000000000000007
149,2023-01-01,11:50:23,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2.625,2.25
150,2023-01-01,11:50:58,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,2.0999999999999996,1.8000000000000007
151,2023-01-01,11:51:30,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,2.4499999999999997,2.1000000000000005
152,2023-01-01,11:52:31,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,2.17,0.9300000000000002
153,2023-01-01,11:57:17,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,2.0999999999999996,1.8000000000000007
154,2023-01-01,11:57:59,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,1.75,0.75
155,2023-01-01,11:57:59,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2.625,1.125
156,2023-01-01,11:58:15,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2.625,2.25
157,2023-01-01,12:00:20,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,1.75,0.75
158,2023-01-01,12:01:00,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,2.0999999999999996,1.8000000000000007
159,2023-01-01,12:01:20,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,2.17,1.8600000000000003
160,2023-01-01,12:01:20,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,2.4499999999999997,1.0500000000000003
161,2023-01-01,12:03:09,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,2.625,1.125
162,2023-01-01,12:03:38,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,2.0999999999999996,0.9000000000000004
163,2023-01-01,12:03:43,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,1.75,0.75
164,2023-01-01,12:04:22,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,2.4499999999999997,2.1000000000000005
165,2023-01-01,12:05:31,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,1.75,1.5
166,2023-01-01,12:06:29,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,1.75,0.75
167,2023-01-01,12:07:42,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,2.0999999999999996,0.9000000000000004
168,2023-01-01,12:08:21,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,2.0999999999999996,0.9000000000000004
169,2023-01-01,12:08:36,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2.17,0.9300000000000002
170,2023-01-01,12:09:11,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,1.4,1.2000000000000002
171,2023-01-01,12:09:12,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,1.75,1.5
172,2023-01-01,12:13:07,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,7.5,2.625,2.25
173,2023-01-01,12:14:26,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,2.17,1.8600000000000003
174,2023-01-01,12:17:38,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,1.75,1.5
175,2023-01-01,12:18:07,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,1.54,1.3200000000000003
176,2023-01-01,12:18:44,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,2.0999999999999996,1.8000000000000007
177,2023-01-01,12:20:16,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2.625,2.25
178,2023-01-01,12:23:39,1,3,Astoria,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,2.0999999999999996,0.9000000000000004
179,2023-01-01,12:27:06,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,2.9749999999999996,2.5500000000000007
180,2023-01-01,12:30:46,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,1.75,1.5
181,2023-01-01,12:30:49,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,2.625,1.125
182,2023-01-01,12:33:20,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,1.75,1.5
